location,population,MaxDeathCount,PerCapitaDeaths
Nepal,30547586,12031,0.039384454143119525058
Dominican Republic,11228821,4384,0.039042389223231895850
Lower middle income,3432097300,1338801,0.039008247231219231459
India,1417173120,531925,0.037534228704535406372
Greenland,56494,21,0.037172089071405813006
Brunei,449002,163,0.036302733618113059630
Myanmar,54179312,19494,0.035980523340717209550
Sao Tome and Principe,227393,80,0.035181382012638911488
Zimbabwe,16320539,5713,0.035004971343164585434
Asia,4721383370,1632877,0.034584715369131314579
Saint Pierre and Miquelon,5885,2,0.033984706881903143585
Singapore,5637022,1872,0.033209024197528411278
Lesotho,2305826,706,0.030618095207530837105
Saudi Arabia,36408824,9646,0.026493577490995040103
Qatar,2695131,690,0.025601723997831645289
United Arab Emirates,9441138,2349,0.024880475213899002429
Egypt,110990096,24830,0.022371365459491088285
Solomon Islands,724272,153,0.021124660348598316654
Mauritania,4736146,997,0.021050871320267576210
Venezuela,28301700,5856,0.020691336562821314620
Zambia,20017670,4069,0.020327041059224175440
Afghanistan,41128772,7942,0.019310082975489761765
Comoros,836783,161,0.019240352636227074402
Kiribati,131237,24,0.018287525621585376075
Cambodia,16767851,3056,0.018225352789692608790
Africa,1426736614,259004,0.018153595937645152492
Bangladesh,171186368,29476,0.017218660775605683742
Djibouti,1120851,189,0.016862187748416158793
Kyrgyzstan,6630621,1024,0.015443500691714999243
Algeria,44903228,6881,0.015324065343364624031
Syria,22125242,3163,0.014295888831408036124
Samoa,222390,31,0.013939475695849633526
Gambia,2705995,372,0.013747253782804476726
Malawi,20405318,2686,0.013163235191923987658
Pakistan,235824864,30656,0.012999477442717829787
Gabon,2388997,307,0.012850581227184462768
Cook Islands,17032,2,0.011742602160638797557
Senegal,17316452,1971,0.011382239271647563831
Tonga,106867,12,0.011228910702087641648
Equatorial Guinea,1674916,183,0.010925921061115900737
Sudan,46874200,5046,0.010764983722388862103
Rwanda,13776702,1468,0.010655670711321185578
Kenya,54027484,5689,0.010529825893798793221
Timor,1341298,138,0.010288541397959290180
Laos,7529477,671,0.008911641538980728674
Tuvalu,11335,1,0.008822232024702249669
China,1425887360,121628,0.008529986548166048684
Guinea-Bissau,2105580,177,0.008406234861653321175
Nauru,12691,1,0.007879599716334410211
Somalia,17597508,1361,0.007734049616570709898
Uganda,47249588,3632,0.007686839512759349351
Haiti,11585003,860,0.007423390395324023653
Cameroon,27914542,1974,0.007071582976356911032
Mozambique,32969520,2243,0.006803253429227965708
Papua New Guinea,10142625,670,0.006605784991557905374
Congo,5970430,389,0.006515443611264180301
Low income,737604900,47979,0.006504701907484616764
Yemen,33696612,2159,0.006407172329372460352
Ethiopia,123379928,7574,0.006138761890021527650
Liberia,5302690,294,0.005544355789231503255
Angola,35588996,1934,0.005434264006773329598
Madagascar,29611718,1425,0.004812284109959442407
Ghana,33475870,1462,0.004367324882071772891
Vanuatu,326744,14,0.004284699948583600616
Nicaragua,6948395,245,0.003525994132457927334
Guinea,13859349,468,0.003376781983049853207
Mali,22593598,743,0.003288542179072142471
Togo,8848700,290,0.003277317572072733847
Cote d'Ivoire,28160548,835,0.002965141161315468718
Uzbekistan,34627648,1016,0.002934071641250367336
Eritrea,3684041,103,0.002795842934429882837
Bhutan,782457,21,0.002683853553613808809
Central African Republic,5579148,113,0.002025398860184386576
Burkina Faso,22673764,396,0.001746511959813994712
Democratic Republic of Congo,99010216,1468,0.001482675282720320497
Sierra Leone,8605723,126,0.001464141943680966724
Nigeria,218541216,3155,0.001443663606227943748
Tanzania,65497752,846,0.001291647383562110650
South Sudan,10913172,138,0.001264526940471569585
Tajikistan,9952789,125,0.001255929368139925401
Benin,13352864,163,0.001220711901207111822
Niger,26207982,315,0.001201923902420262651
Chad,17723312,194,0.001094603536855865314
Burundi,12889583,15,0.000116373043255161939
Taiwan,23893396,NULL,NULL
Falkland Islands,3801,NULL,NULL
Northern Ireland,1896000,NULL,NULL
Macao,695180,NULL,NULL
Tokelau,1893,NULL,NULL
Pitcairn,47,NULL,NULL
North Korea,26069416,NULL,NULL
Hong Kong,7488863,NULL,NULL
Turkmenistan,6430777,NULL,NULL
England,56550000,NULL,NULL
Wales,3170000,NULL,NULL
Scotland,5466000,NULL,NULL
Vatican,808,NULL,NULL
Niue,1952,NULL,NULL
Western Sahara,576005,NULL,NULL
Northern Cyprus,382836,NULL,NULL
Saint Helena,5401,NULL,NULL
